t_0,u_0,t_E,pi_E_N,pi_E_E,ftot,fb_frac,loglike
2453630.00648075,-0.41416904097042906,105.52669557570526,-0.26135246699007114,0.1070966164138405,187.37284074061,0.09700981385978637,-479.6671740308942
2453630.5456573647,-0.4361990114365294,106.93656935276245,-0.29920577261856085,0.12001329299545072,187.15960324132385,0.03158157212923949,-479.6670094804425
2453631.588476815,-0.41778054296216727,113.59548904555727,-0.32050505271286056,0.11529829110591083,187.06020572698364,0.08855040810432813,-479.6531660631
2453631.3779357816,-0.4434331110950802,106.27526133799881,-0.307374721481234,0.12306849491576755,187.34938609484686,0.0058622150731839915,-479.63266674391923
2453630.259770085,-0.4152415601088689,109.44331938004396,-0.2969587164011192,0.10784364933685742,187.0698985361414,0.08911076135218042,-479.6310338655456
2453630.2235050197,-0.3932793941475292,109.3354012863334,-0.24006613780788238,0.09272923708367231,187.32151424773815,0.1601138156809813,-479.6294778092356
2453630.8834601003,-0.40603039338165803,112.69205675275546,-0.2980647587461109,0.10164718002292727,187.30386391816873,0.12184445440513675,-479.6142335237315
2453630.4312283644,-0.4389302851123015,102.2829674304789,-0.25423097879204926,0.11821698880762166,187.1898947585998,0.021910205291228054,-479.6118716250155
2453630.5054071685,-0.3846535369827019,114.55598913592134,-0.2665532372901811,0.10212761751873278,187.12294032074072,0.19045788357521873,-479.6026932141385
2453630.2936464315,-0.38239024580724146,116.64238575296203,-0.2761578175902928,0.08660836937863059,187.07494698208973,0.19506379385693565,-479.5817048751429
2453630.3425014876,-0.4029115062079087,110.60076348703001,-0.2991709841989534,0.1209753575441389,187.19693550966593,0.12725605603906906,-479.57953998203214
2453630.591471061,-0.38885389508381396,111.40128354733261,-0.24778191161386115,0.09221470822736255,187.14779511817133,0.17343537414860846,-479.5786507850389
2453631.1284231087,-0.43819119317673316,105.63745188808757,-0.31603141398584295,0.1415928779429413,187.31515865638312,0.020545067067426627,-479.57208433106365
2453630.399078941,-0.3882310644947682,107.84896930989244,-0.21642137623501034,0.10493950493331505,187.17312305306658,0.17479727422251864,-479.56666116383076
2453630.505689711,-0.4413575728599026,102.6090792302522,-0.2828464312079577,0.12324791204421437,187.38351985706433,0.008109335935394294,-479.56630005424563
2453630.2527430793,-0.44274110188480764,102.89622960169432,-0.2627010528106896,0.10786363365498675,187.14722199613277,0.012233300181721318,-479.56319303063236
2453630.796782686,-0.3951997129253446,117.46000169196648,-0.31444327928423443,0.1054469711894741,187.08209936454523,0.16182135920606622,-479.5625075302173
2453631.057761649,-0.42138978476800404,113.13599553063067,-0.3278484521543631,0.09982559731503171,187.11071387940137,0.07712534130986928,-479.55744817532474
2453631.223518399,-0.43974214581828663,110.98139720366524,-0.3647273111444552,0.13717433522070654,187.12864002376224,0.017690263098421304,-479.54537716771847
2453631.0991172376,-0.4101187744324918,113.17694065215288,-0.3071509337587719,0.11230384299366314,187.2693251190214,0.11619336561068759,-479.5247237022105
2453630.628694586,-0.43077538623178335,107.00671403868772,-0.3075354105436371,0.11283716270142208,187.41392611003963,0.0434402582351986,-479.5001664836643
2453631.2162255263,-0.3827456440848105,124.34617127092598,-0.3521003387437174,0.11037558098316613,186.90126536552148,0.1902732594371398,-479.494581872034
2453631.384909875,-0.41943007886745776,116.22784961036041,-0.3552232087339263,0.11561856021951356,187.22016709068993,0.08198443710664692,-479.4669597398496
2453630.547686988,-0.37567613123774946,123.69150953331707,-0.34065261311890327,0.10698499661560301,186.9440819394811,0.21144715520689916,-479.4518771787833
2453630.263185083,-0.3982422261684875,108.26049322082321,-0.24236231672598102,0.09378361077065922,187.23232713036307,0.14159289280635454,-479.44563472469446
2453631.428889268,-0.4275691060664223,115.63041262159783,-0.3559786642000581,0.11580964421155437,187.06084021521275,0.061501673895256216,-479.4389755945559
2453631.1563513256,-0.4344399893250599,112.49079392960522,-0.35891727447671307,0.11991045473144157,187.01850515517583,0.030728453849157233,-479.4360257351639
2453630.8847097093,-0.4158211396499384,103.97885096615343,-0.22669100235360923,0.11308320938533623,187.1932121838642,0.09162084307535592,-479.4230615212299
2453631.2125193076,-0.4154242707565632,118.11274628965987,-0.3588958604003748,0.10966948515287611,186.8862803282125,0.09433515453881497,-479.4128252383023
2453631.2395492517,-0.44019998106523606,108.40110079466614,-0.3393048459151977,0.14049005112299418,187.3061732100265,0.018897820557523835,-479.40598397961855
2453630.6250425344,-0.39012301157933726,110.25512512769212,-0.24071927147808536,0.10721929037732159,187.2153672652817,0.1712901362403729,-479.3414194529148
2453630.7271524654,-0.4264079216352291,111.12924760416387,-0.3488211572809437,0.12576489112921796,187.2279935621472,0.059144464954111395,-479.3162326693216
